# path	git_blob_sha1	normalized_marker_sha256	source_area
crates/audio/candle-audio-mmaudio/src/agg.rs	50db0607d28c4a1ac52a1827907cd26b229db608	2e01018e65f8f1e279bc16e89359022da0def06ad8320585036a0e3180e26aa5	architecture:crates/audio/candle-audio-mmaudio
crates/audio/candle-audio-mmaudio/src/clip.rs	c4eebde5952f3cff64065bec11f94c6e91315ac7	c0db888bedf2f626ceb027c1bb491df6946a8f954487de97077d03f9aad780eb	architecture:crates/audio/candle-audio-mmaudio
crates/audio/candle-audio-mmaudio/src/config.rs	88a8e15b635a4c812b6c98881faf40a4ab03df5b	2e01018e65f8f1e279bc16e89359022da0def06ad8320585036a0e3180e26aa5	architecture:crates/audio/candle-audio-mmaudio
crates/audio/candle-audio-mmaudio/src/generator_44k.rs	0a093980ad79f5372d6e66a6e1d0b3929f6866e1	b9feb93c33722d4c8b76f9967e6ab633761786e4d96ebb8ead98af2627697b3d	architecture:crates/audio/candle-audio-mmaudio
crates/audio/candle-audio-mmaudio/src/generator.rs	7f1bbc693b218a67ddfb742646d6f5637037c7a5	bd0594847547d78405dbd19311b9087eaae9352c00b4def1ec6fe798216de5b1	architecture:crates/audio/candle-audio-mmaudio
crates/audio/candle-audio-mmaudio/src/lib.rs	e2064f7ee19f030cc9996befc43faf814a6e3f06	781ec9f1451d59e001c933571721795e3e28ba85c297d0eda893125d88e24fba	architecture:crates/audio/candle-audio-mmaudio
crates/audio/candle-audio-mmaudio/src/mmdit.rs	223f098f158d661229d00cead562179f6ed5de57	f41ce7a853ebfd4b258cd48b05af8fd884fbc2e35ce3da870d876c3c686a5bb8	architecture:crates/audio/candle-audio-mmaudio
crates/audio/candle-audio-mmaudio/src/output.rs	d8f1e25c050dbd2762197841388d3295d9fd0778	420c15ad043b4eb827cb60c3f9df121349f4cb12dbea754c6f6c4e50e51460dc	architecture:crates/audio/candle-audio-mmaudio
crates/audio/candle-audio-mmaudio/src/vae.rs	d144498abd4e279ffa9319ee540601fcf151ec0d	2a2abde092c74582a5d0004aa9eefdcadaf0a469d909a88b40f505a99dafff8b	architecture:crates/audio/candle-audio-mmaudio
crates/audio/candle-audio-moss-sfx/src/dit.rs	38f741e1988cfebb3c7a04759514c9bd33459511	7294eafc9437a5221982512bb13f41304314efd7b09946be9ef98bfe2d42d1b4	architecture:crates/audio/candle-audio-moss-sfx
